nohup: ignoring input
目前的混合精度设置: bf16
🚀 Training RAE ControlNet on cuda
Initializing Base Model from Config...
Indexing 3 safetensors files...
Loading latent stats from cache...
📊 检查 Time Dist Shift: 6.9282
Start Training...
Epoch 7 | Step 2830 | Loss: 0.7078
Epoch 7 | Step 2840 | Loss: 0.8412
Epoch 7 | Step 2850 | Loss: 0.6834
Epoch 7 | Step 2860 | Loss: 0.6247
Epoch 7 | Step 2870 | Loss: 0.6959
Epoch 7 | Step 2880 | Loss: 0.5277
Epoch 7 | Step 2890 | Loss: 0.7258
Epoch 7 | Step 2900 | Loss: 0.4284
Epoch 7 | Step 2910 | Loss: 0.6086
Epoch 7 | Step 2920 | Loss: 0.5583
Epoch 7 | Step 2930 | Loss: 1.0073
Epoch 7 | Step 2940 | Loss: 0.5556
Epoch 7 | Step 2950 | Loss: 0.7877
Epoch 7 | Step 2960 | Loss: 0.6188
Epoch 7 | Step 2970 | Loss: 0.6686
Epoch 7 | Step 2980 | Loss: 0.4870
Epoch 7 | Step 2990 | Loss: 0.7581
Epoch 7 | Step 3000 | Loss: 0.7223
Epoch 7 | Step 3010 | Loss: 0.7263
Epoch 7 | Step 3020 | Loss: 0.7144
Epoch 7 | Step 3030 | Loss: 0.8034
Epoch 7 | Step 3040 | Loss: 0.6223
Epoch 7 | Step 3050 | Loss: 0.5928
Epoch 7 | Step 3060 | Loss: 0.5451
Epoch 7 | Step 3070 | Loss: 0.4720
Epoch 7 | Step 3080 | Loss: 0.6956
Epoch 7 | Step 3090 | Loss: 0.4874
Epoch 7 | Step 3100 | Loss: 0.5444
Epoch 7 | Step 3110 | Loss: 0.5537
Epoch 7 | Step 3120 | Loss: 0.5693
Epoch 7 | Step 3130 | Loss: 0.6696
Epoch 7 | Step 3140 | Loss: 0.6443
Epoch 7 | Step 3150 | Loss: 0.6602
Epoch 7 | Step 3160 | Loss: 0.6686
Epoch 7 | Step 3170 | Loss: 0.7080
Epoch 7 | Step 3180 | Loss: 0.5349
Epoch 7 | Step 3190 | Loss: 0.5839
Epoch 7 | Step 3200 | Loss: 0.5867
Epoch 8 | Step 3210 | Loss: 0.6151
Epoch 8 | Step 3220 | Loss: 0.7406
Epoch 8 | Step 3230 | Loss: 0.8166
Epoch 8 | Step 3240 | Loss: 0.6111
Epoch 8 | Step 3250 | Loss: 0.6086
Epoch 8 | Step 3260 | Loss: 0.4656
Epoch 8 | Step 3270 | Loss: 0.6328
Epoch 8 | Step 3280 | Loss: 0.7905
Epoch 8 | Step 3290 | Loss: 0.6637
Epoch 8 | Step 3300 | Loss: 0.6694
Epoch 8 | Step 3310 | Loss: 0.5786
Epoch 8 | Step 3320 | Loss: 0.5923
Epoch 8 | Step 3330 | Loss: 0.5800
Epoch 8 | Step 3340 | Loss: 0.7228
Epoch 8 | Step 3350 | Loss: 0.4890
Epoch 8 | Step 3360 | Loss: 0.7974
Epoch 8 | Step 3370 | Loss: 0.4647
Epoch 8 | Step 3380 | Loss: 0.6306
Epoch 8 | Step 3390 | Loss: 0.6625
Epoch 8 | Step 3400 | Loss: 0.6853
Epoch 8 | Step 3410 | Loss: 0.7238
Epoch 8 | Step 3420 | Loss: 0.6419
Epoch 8 | Step 3430 | Loss: 0.8225
Epoch 8 | Step 3440 | Loss: 0.6576
